experiment_id,lr,epochs,max_time,batch_size,seq_len,seq_est_len,est_direction,est_type,est_hidden_size,seed
26,0.001,10000,3600,32,160,10,forward,LSTM,15,239
379,0.001,10000,1800,512,320,80,forward,FF,15,185
529,0.001,10000,1800,32,40,80,forward,ZERO,15,713
407,0.001,10000,3600,1024,80,10,forward,ZERO,15,38
82,0.001,10000,1800,1024,160,20,forward,LSTM,15,85
616,0.001,10000,1800,128,320,10,forward,RAND,15,139
464,0.001,10000,3600,512,160,20,forward,ZERO,15,732
93,0.001,10000,300,1024,320,20,forward,LSTM,15,50
262,0.001,10000,1800,1024,80,20,forward,FF,15,467
674,0.001,10000,3600,32,40,40,forward,RAND,15,256
299,0.001,10000,3600,1024,40,40,forward,FF,15,657
67,0.001,10000,1800,512,80,20,forward,LSTM,15,272
744,0.001,10000,300,32,160,80,forward,RAND,15,677
302,0.001,10000,3600,32,80,40,forward,FF,15,89
512,0.001,10000,3600,512,160,40,forward,ZERO,15,570
310,0.001,10000,1800,1024,80,40,forward,FF,15,107
644,0.001,10000,3600,512,80,20,forward,RAND,15,80
315,0.001,10000,300,128,160,40,forward,FF,15,102
152,0.001,10000,3600,512,40,80,forward,LSTM,15,527
46,0.001,10000,1800,1024,320,10,forward,LSTM,15,271
376,0.001,10000,1800,128,320,80,forward,FF,15,309
631,0.001,10000,1800,512,40,20,forward,RAND,15,280
139,0.001,10000,1800,512,320,40,forward,LSTM,15,653
229,0.001,10000,1800,32,320,10,forward,FF,15,758
169,0.001,10000,1800,32,160,80,forward,LSTM,15,536
14,0.001,10000,3600,32,80,10,forward,LSTM,15,737
321,0.001,10000,300,1024,160,40,forward,FF,15,478
136,0.001,10000,1800,128,320,40,forward,LSTM,15,687
582,0.001,10000,300,512,40,10,forward,RAND,15,234
438,0.001,10000,300,512,40,20,forward,ZERO,15,615
72,0.001,10000,300,32,160,20,forward,LSTM,15,253
642,0.001,10000,300,512,80,20,forward,RAND,15,182
408,0.001,10000,300,32,160,10,forward,ZERO,15,635
232,0.001,10000,1800,128,320,10,forward,FF,15,418
689,0.001,10000,3600,128,80,40,forward,RAND,15,131
122,0.001,10000,3600,32,160,40,forward,LSTM,15,318
482,0.001,10000,3600,32,40,40,forward,ZERO,15,238
341,0.001,10000,3600,128,40,80,forward,FF,15,641
4,0.001,10000,1800,128,40,10,forward,LSTM,15,529
189,0.001,10000,300,1024,320,80,forward,LSTM,15,382
350,0.001,10000,3600,32,80,80,forward,FF,15,369
726,0.001,10000,300,512,40,80,forward,RAND,15,714
598,0.001,10000,1800,1024,80,10,forward,RAND,15,525
52,0.001,10000,1800,128,40,20,forward,LSTM,15,215
202,0.001,10000,1800,1024,40,10,forward,FF,15,35
685,0.001,10000,1800,32,80,40,forward,RAND,15,227
455,0.001,10000,3600,1024,80,20,forward,ZERO,15,630
557,0.001,10000,3600,128,160,80,forward,ZERO,15,341
352,0.001,10000,1800,128,80,80,forward,FF,15,521
125,0.001,10000,3600,128,160,40,forward,LSTM,15,694
120,0.001,10000,300,32,160,40,forward,LSTM,15,725
694,0.001,10000,1800,1024,80,40,forward,RAND,15,84
175,0.001,10000,1800,512,160,80,forward,LSTM,15,241
333,0.001,10000,300,1024,320,40,forward,FF,15,346
354,0.001,10000,300,512,80,80,forward,FF,15,497
536,0.001,10000,3600,512,40,80,forward,ZERO,15,176
420,0.001,10000,300,32,320,10,forward,ZERO,15,493
84,0.001,10000,300,32,320,20,forward,LSTM,15,735
746,0.001,10000,3600,32,160,80,forward,RAND,15,174
278,0.001,10000,3600,32,320,20,forward,FF,15,401
314,0.001,10000,3600,32,160,40,forward,FF,15,477
475,0.001,10000,1800,512,320,20,forward,ZERO,15,13
248,0.001,10000,3600,512,40,20,forward,FF,15,161
627,0.001,10000,300,128,40,20,forward,RAND,15,269
233,0.001,10000,3600,128,320,10,forward,FF,15,764
639,0.001,10000,300,128,80,20,forward,RAND,15,746
467,0.001,10000,3600,1024,160,20,forward,ZERO,15,220
191,0.001,10000,3600,1024,320,80,forward,LSTM,15,463
409,0.001,10000,1800,32,160,10,forward,ZERO,15,686
445,0.001,10000,1800,32,80,20,forward,ZERO,15,4
170,0.001,10000,3600,32,160,80,forward,LSTM,15,597
696,0.001,10000,300,32,160,40,forward,RAND,15,565
76,0.001,10000,1800,128,160,20,forward,LSTM,15,672
5,0.001,10000,3600,128,40,10,forward,LSTM,15,103
522,0.001,10000,300,512,320,40,forward,ZERO,15,322
461,0.001,10000,3600,128,160,20,forward,ZERO,15,284
22,0.001,10000,1800,1024,80,10,forward,LSTM,15,172
62,0.001,10000,3600,32,80,20,forward,LSTM,15,626
242,0.001,10000,3600,32,40,20,forward,FF,15,200
17,0.001,10000,3600,128,80,10,forward,LSTM,15,55
319,0.001,10000,1800,512,160,40,forward,FF,15,356
393,0.001,10000,300,1024,40,10,forward,ZERO,15,665
422,0.001,10000,3600,32,320,10,forward,ZERO,15,716
326,0.001,10000,3600,32,320,40,forward,FF,15,412
473,0.001,10000,3600,128,320,20,forward,ZERO,15,81
63,0.001,10000,300,128,80,20,forward,LSTM,15,266
604,0.001,10000,1800,128,160,10,forward,RAND,15,228
443,0.001,10000,3600,1024,40,20,forward,ZERO,15,348
177,0.001,10000,300,1024,160,80,forward,LSTM,15,302
260,0.001,10000,3600,512,80,20,forward,FF,15,533
163,0.001,10000,1800,512,80,80,forward,LSTM,15,530
347,0.001,10000,3600,1024,40,80,forward,FF,15,330
256,0.001,10000,1800,128,80,20,forward,FF,15,711
