experiment_id,lr,epochs,max_time,batch_size,seq_len,seq_est_len,est_direction,est_type,est_hidden_size,seed,FIT,RMSE
636,0.001,10000,300,32,80,20,forward,RAND,15,184,94.80098724365234,12.433295138180256
219,0.001,10000,300,128,160,10,forward,FF,15,504,92.84396362304688,17.113465815782547
549,0.001,10000,300,1024,80,80,forward,ZERO,15,676,91.4220199584961,20.514002069830894
381,0.001,10000,300,1024,320,80,forward,FF,15,353,91.93814086914062,19.279710948467255
425,0.001,10000,3600,128,320,10,forward,ZERO,15,592,97.92586517333984,4.960230085998774
126,0.001,10000,300,512,160,40,forward,LSTM,15,698,90.54473876953125,22.612011060118675
526,0.001,10000,1800,1024,320,40,forward,ZERO,15,509,95.62578582763672,10.460804216563702
187,0.001,10000,1800,512,320,80,forward,LSTM,15,366,94.60420227050781,12.903900817036629
454,0.001,10000,1800,1024,80,20,forward,ZERO,15,135,97.97763061523438,4.836433567106724
614,0.001,10000,3600,32,320,10,forward,RAND,15,461,97.5828857421875,5.780474748462439
223,0.001,10000,1800,512,160,10,forward,FF,15,231,95.86812591552734,9.881271049380302
127,0.001,10000,1800,512,160,40,forward,LSTM,15,386,96.05825805664062,9.426560252904892
427,0.001,10000,1800,512,320,10,forward,ZERO,15,427,96.103515625,9.318344295024872
207,0.001,10000,300,128,80,10,forward,FF,15,566,95.50493621826172,10.7498150318861
279,0.001,10000,300,128,320,20,forward,FF,15,505,93.3440170288086,15.917614102363586
520,0.001,10000,1800,128,320,40,forward,ZERO,15,557,97.82604217529297,5.198961589485407
477,0.001,10000,300,1024,320,20,forward,ZERO,15,455,90.660888671875,22.334229201078415
378,0.001,10000,300,512,320,80,forward,FF,15,532,89.94795989990234,24.039186537265778
755,0.001,10000,3600,1024,160,80,forward,RAND,15,70,97.77166748046875,5.328998435288668
412,0.001,10000,1800,128,160,10,forward,ZERO,15,722,97.7303237915039,5.427858792245388
442,0.001,10000,1800,1024,40,20,forward,ZERO,15,561,97.78947448730469,5.28640067204833
31,0.001,10000,1800,512,160,10,forward,LSTM,15,422,96.82450103759766,7.594120223075151
543,0.001,10000,300,128,80,80,forward,ZERO,15,587,95.04354095458984,11.853245086967945
146,0.001,10000,3600,32,40,80,forward,LSTM,15,52,97.64984130859375,5.620344541966915
334,0.001,10000,1800,1024,320,40,forward,FF,15,3,96.6936264038086,7.9071009531617165
548,0.001,10000,3600,512,80,80,forward,ZERO,15,254,97.96083068847656,4.876617807894945
578,0.001,10000,3600,32,40,10,forward,RAND,15,646,94.53546142578125,13.06829508394003
494,0.001,10000,3600,32,80,40,forward,ZERO,15,164,98.51094818115234,3.5610150080174208
368,0.001,10000,3600,512,160,80,forward,FF,15,752,98.89260864257812,2.6482963003218174
515,0.001,10000,3600,1024,160,40,forward,ZERO,15,83,98.20922088623047,4.282604902982712
353,0.001,10000,3600,128,80,80,forward,FF,15,731,98.64631652832031,3.237299155443907
18,0.001,10000,300,512,80,10,forward,LSTM,15,479,94.1611557006836,13.963439501821995
723,0.001,10000,300,128,40,80,forward,RAND,15,675,94.35118103027344,13.508985750377178
342,0.001,10000,300,512,40,80,forward,FF,15,428,94.7685775756836,12.51080073416233
173,0.001,10000,3600,128,160,80,forward,LSTM,15,739,98.37709045410156,3.8811485283076763
227,0.001,10000,3600,1024,160,10,forward,FF,15,188,98.25696563720703,4.1684177704155445
89,0.001,10000,3600,128,320,20,forward,LSTM,15,623,97.02660369873047,7.110790349543095
440,0.001,10000,3600,512,40,20,forward,ZERO,15,74,98.27808380126953,4.117906559258699
26,0.001,10000,3600,32,160,10,forward,LSTM,15,239,97.85253143310547,5.135626532137394
379,0.001,10000,1800,512,320,80,forward,FF,15,185,95.94401550292969,9.69977118074894
529,0.001,10000,1800,32,40,80,forward,ZERO,15,713,98.0113296508789,4.755855072289705
407,0.001,10000,3600,1024,80,10,forward,ZERO,15,38,96.88873291015625,7.440508808940649
82,0.001,10000,1800,1024,160,20,forward,LSTM,15,85,97.99784088134766,4.788120277225971
