experiment_id,lr,epochs,max_time,batch_size,seq_len,seq_est_len,est_type,est_hidden_size,seed
240,0.001,10000,300,32,256,40,LSTM,30,210
23,0.001,10000,1800,1024,64,40,LSTM,10,1
364,0.001,10000,300,1024,64,100,ZERO,30,291
189,0.001,10000,1800,128,256,40,RAND,10,85
346,0.001,10000,300,1024,64,40,ZERO,30,143
222,0.001,10000,300,32,256,10,LSTM,30,407
266,0.001,10000,300,128,512,100,LSTM,30,83
294,0.001,10000,300,32,256,40,FF,30,327
227,0.001,10000,1800,1024,256,10,LSTM,30,253
370,0.001,10000,300,1024,256,100,ZERO,30,105
320,0.001,10000,300,128,512,100,FF,30,328
351,0.001,10000,1800,128,256,40,ZERO,30,430
145,0.001,10000,1800,32,64,100,ZERO,10,145
259,0.001,10000,1800,32,256,100,LSTM,30,271
147,0.001,10000,1800,128,64,100,ZERO,10,232
278,0.001,10000,300,128,256,10,FF,30,260
398,0.001,10000,300,128,64,40,RAND,30,338
361,0.001,10000,1800,32,64,100,ZERO,30,267
54,0.001,10000,300,32,64,10,FF,10,259
252,0.001,10000,300,32,64,100,LSTM,30,166
312,0.001,10000,300,32,256,100,FF,30,50
354,0.001,10000,300,32,512,40,ZERO,30,203
39,0.001,10000,1800,128,64,100,LSTM,10,158
18,0.001,10000,300,32,64,40,LSTM,10,205
264,0.001,10000,300,32,512,100,LSTM,30,228
281,0.001,10000,1800,1024,256,10,FF,30,248
88,0.001,10000,300,1024,512,40,FF,10,124
50,0.001,10000,300,128,512,100,LSTM,10,320
99,0.001,10000,1800,128,256,100,FF,10,20
33,0.001,10000,1800,128,512,40,LSTM,10,427
122,0.001,10000,300,128,512,10,ZERO,10,373
321,0.001,10000,1800,128,512,100,FF,30,130
210,0.001,10000,300,32,512,100,RAND,10,181
10,0.001,10000,300,1024,256,10,LSTM,10,21
105,0.001,10000,1800,128,512,100,FF,10,191
68,0.001,10000,300,128,512,10,FF,10,431
271,0.001,10000,1800,32,64,10,FF,30,152
272,0.001,10000,300,128,64,10,FF,30,16
117,0.001,10000,1800,128,256,10,ZERO,10,283
202,0.001,10000,300,1024,64,100,RAND,10,235
316,0.001,10000,300,1024,256,100,FF,30,360
376,0.001,10000,300,1024,512,100,ZERO,30,377
338,0.001,10000,300,128,512,10,ZERO,30,69
2,0.001,10000,300,128,64,10,LSTM,10,54
9,0.001,10000,1800,128,256,10,LSTM,10,157
275,0.001,10000,1800,1024,64,10,FF,30,339
288,0.001,10000,300,32,64,40,FF,30,302
203,0.001,10000,1800,1024,64,100,RAND,10,367
154,0.001,10000,300,1024,256,100,ZERO,10,101
28,0.001,10000,300,1024,256,40,LSTM,10,312
42,0.001,10000,300,32,256,100,LSTM,10,365
20,0.001,10000,300,128,64,40,LSTM,10,385
260,0.001,10000,300,128,256,100,LSTM,30,372
65,0.001,10000,1800,1024,256,10,FF,10,65
84,0.001,10000,300,32,512,40,FF,10,315
257,0.001,10000,1800,1024,64,100,LSTM,30,310
285,0.001,10000,1800,128,512,10,FF,30,226
29,0.001,10000,1800,1024,256,40,LSTM,10,12
296,0.001,10000,300,128,256,40,FF,30,275
372,0.001,10000,300,32,512,100,ZERO,30,273
71,0.001,10000,1800,1024,512,10,FF,10,392
49,0.001,10000,1800,32,512,100,LSTM,10,278
359,0.001,10000,1800,1024,512,40,ZERO,30,91
273,0.001,10000,1800,128,64,10,FF,30,293
393,0.001,10000,1800,128,512,10,RAND,30,147
116,0.001,10000,300,128,256,10,ZERO,10,404
37,0.001,10000,1800,32,64,100,LSTM,10,363
247,0.001,10000,1800,32,512,40,LSTM,30,223
48,0.001,10000,300,32,512,100,LSTM,10,274
262,0.001,10000,300,1024,256,100,LSTM,30,356
388,0.001,10000,300,1024,256,10,RAND,30,127
335,0.001,10000,1800,1024,256,10,ZERO,30,95
310,0.001,10000,300,1024,64,100,FF,30,41
417,0.001,10000,1800,128,64,100,RAND,30,70
