experiment_id,lr,epochs,max_time,batch_size,seq_len,seq_est_len,est_type,est_hidden_size,seed,FIT
236,0.001,10000,300,128,64,40,LSTM,30,204,88.11479202839277
425,0.001,10000,1800,1024,256,100,RAND,30,195,84.55191040039062
270,0.001,10000,300,32,64,10,FF,30,149,91.56408894006553
113,0.001,10000,1800,1024,64,10,ZERO,10,261,76.27951049804688
30,0.001,10000,300,32,512,40,LSTM,10,196,82.67496904501085
414,0.001,10000,300,32,64,100,RAND,30,314,86.03199768066406
40,0.001,10000,300,1024,64,100,LSTM,10,78,84.35498190816044
345,0.001,10000,1800,128,64,40,ZERO,30,148,81.33302307128906
299,0.001,10000,1800,1024,256,40,FF,30,182,83.12801971255472
423,0.001,10000,1800,128,256,100,RAND,30,9,85.06622314453125
13,0.001,10000,1800,32,512,10,LSTM,10,231,90.91256521218892
160,0.001,10000,300,1024,512,100,ZERO,10,380,82.04298400878906
143,0.001,10000,1800,1024,512,40,ZERO,10,92,84.13015747070312
263,0.001,10000,1800,1024,256,100,LSTM,30,426,89.48483057861432
352,0.001,10000,300,1024,256,40,ZERO,30,262,81.53926086425781
422,0.001,10000,300,128,256,100,RAND,30,211,83.70262145996094
106,0.001,10000,300,1024,512,100,FF,10,170,81.26835135873158
255,0.001,10000,1800,128,64,100,LSTM,30,299,84.4172880031348
79,0.001,10000,1800,32,256,40,FF,10,74,86.73316905516582
426,0.001,10000,300,32,512,100,RAND,30,251,78.27429962158203
317,0.001,10000,1800,1024,256,100,FF,30,123,89.90497034800434
53,0.001,10000,1800,1024,512,100,LSTM,10,122,80.66273335701779
172,0.001,10000,300,1024,256,10,RAND,10,120,78.31629180908203
144,0.001,10000,300,32,64,100,ZERO,10,18,84.66743469238281
333,0.001,10000,1800,128,256,10,ZERO,30,94,83.99823760986328
399,0.001,10000,1800,128,64,40,RAND,30,335,80.72122955322266
249,0.001,10000,1800,128,512,40,LSTM,30,249,80.92895245492461
163,0.001,10000,1800,32,64,10,RAND,10,114,84.72856140136719
326,0.001,10000,300,128,64,10,ZERO,30,201,79.32122039794922
136,0.001,10000,300,1024,256,40,ZERO,10,379,81.45573425292969
85,0.001,10000,1800,32,512,40,FF,10,233,89.3521646767763
75,0.001,10000,1800,128,64,40,FF,10,144,93.61342454145371
141,0.001,10000,1800,128,512,40,ZERO,10,306,83.5322265625
251,0.001,10000,1800,1024,512,40,LSTM,30,111,84.37636377029615
204,0.001,10000,300,32,256,100,RAND,10,73,81.03373718261719
318,0.001,10000,300,32,512,100,FF,30,222,79.41368475179965
387,0.001,10000,1800,128,256,10,RAND,30,32,81.15399169921875
1,0.001,10000,1800,32,64,10,LSTM,10,390,92.00208699458578
358,0.001,10000,300,1024,512,40,ZERO,30,397,82.34590148925781
5,0.001,10000,1800,1024,64,10,LSTM,10,153,92.43348140861305
240,0.001,10000,300,32,256,40,LSTM,30,210,84.5222265504392
23,0.001,10000,1800,1024,64,40,LSTM,10,1,89.67588443732701
364,0.001,10000,300,1024,64,100,ZERO,30,291,83.41069030761719
